1-t,2-t,label
-67.24345,-58.456654,18th-century_style
-87.05578,-49.940907,18th-century_style
-87.4126,-50.42773,18th-century_style
-86.70409,-49.83642,18th-century_style
-86.6547,-49.8981,18th-century_style
-86.663086,-49.89825,18th-century_style
-86.663086,-49.89825,18th-century_style
-52.69404,-53.939453,late_19th-century_style
-52.694096,-53.939377,late_19th-century_style
-5.442202,-32.574593,postwar
-85.962326,-49.295643,18th-century_style
-71.62034,-53.209503,revival
-86.34199,-54.17224,18th-century_style
-84.486916,-66.74906,18th-century_style
-58.38758,-68.92905,late_19th-century_style
-84.486916,-66.74906,18th-century_style
-37.337685,-61.96511,early_19th-century_style
-73.10352,-48.447605,18th-century_style
-80.95765,-57.008705,18th-century_style
-19.225883,-27.89466,18th-century_style
-41.678364,-45.964287,late_19th-century_style
-52.249245,-53.99439,late_19th-century_style
-85.70122,-53.111557,18th-century_style
-81.14304,-53.254974,18th-century_style
-91.24393,-13.618707,late_19th-century_style
-40.69792,-16.870892,early_19th-century_style
-79.634315,-44.903214,18th-century_style
-59.095966,1.2675843,late_19th-century_style
-85.92838,-55.429707,18th-century_style
-78.31616,-44.62138,18th-century_style
-74.78857,-53.283752,contemporary
-51.647537,-58.687107,contemporary
-57.56799,-19.573475,contemporary
-59.031105,-26.315971,late_19th-century_style
-44.524025,-13.119833,contemporary
-85.777756,-55.249653,18th-century_style
-45.777878,-3.8966818,late_19th-century_style
-84.0248,-47.16402,18th-century_style
-56.67746,-49.57698,late_19th-century_style
-66.354454,-24.576838,late_19th-century_style
12.469437,-16.307568,contemporary
-75.57775,-60.158367,18th-century_style
-79.05027,-55.51039,contemporary
-79.04947,-55.51079,contemporary
-83.87375,-47.47364,18th-century_style
-48.373547,-13.627155,contemporary
-78.74301,-53.924362,18th-century_style
-81.32633,-34.004486,late_19th-century_style
-44.306698,-60.764603,postwar
-86.028145,-56.6915,18th-century_style
-80.081406,-60.631317,contemporary
-42.26928,-5.9155173,contemporary
-74.061615,-63.175205,18th-century_style
-73.651375,-42.22491,late_19th-century_style
-78.14824,-58.13052,18th-century_style
-84.80167,-44.66947,18th-century_style
-85.15112,-44.489067,late_19th-century_style
-85.15112,-44.489067,late_19th-century_style
-64.42435,-32.41603,late_19th-century_style
-64.4248,-32.415634,late_19th-century_style
-17.775911,-34.944492,revival
-95.95996,-26.91218,late_19th-century_style
-51.01256,-12.490971,late_19th-century_style
-50.99407,-8.047004,contemporary
-61.975605,-3.5507035,late_19th-century_style
-62.30815,1.6952602,late_19th-century_style
-61.382374,-59.828167,early_19th-century_style
-52.458733,-49.350616,late_19th-century_style
20.010891,4.1250772,revival
-47.16695,-61.454536,late_19th-century_style
-49.50052,-32.171074,late_19th-century_style
-82.52237,-47.172035,18th-century_style
-61.382374,-59.828167,early_19th-century_style
-61.381233,-59.826187,early_19th-century_style
-52.453213,-49.345375,late_19th-century_style
-52.45354,-49.346043,late_19th-century_style
-78.21278,-49.903103,18th-century_style
-88.628136,-52.4991,18th-century_style
-40.355354,-35.64401,late_19th-century_style
-40.355354,-35.64401,late_19th-century_style
-40.355354,-35.64401,late_19th-century_style
-40.35554,-35.64332,late_19th-century_style
-78.444435,-48.575897,18th-century_style
-61.062588,-43.914658,late_19th-century_style
-24.092503,-80.71578,late_19th-century_style
-43.129066,-54.906597,postwar
-77.86967,-47.48455,18th-century_style
-77.08995,-47.313656,late_19th-century_style
-49.75616,-51.002945,late_19th-century_style
-49.75616,-51.002945,late_19th-century_style
-25.936222,-49.751358,early_19th-century_style
-46.699154,-7.5214624,postwar
-95.47745,-27.786606,late_19th-century_style
-80.41462,-32.705063,late_19th-century_style
-78.42169,-53.7102,contemporary
-59.134144,-37.66444,late_19th-century_style
-59.133934,-37.665695,late_19th-century_style
-59.14195,-37.676403,late_19th-century_style
-54.71369,-51.659702,late_19th-century_style
-101.12757,-32.32169,late_19th-century_style
-101.13888,-32.323544,late_19th-century_style
-50.43179,-64.55506,late_19th-century_style
-84.18369,-50.14748,18th-century_style
-84.184875,-50.147064,18th-century_style
-1.4634298,-58.511322,contemporary
-83.76169,-66.00536,18th-century_style
-66.46459,-77.728775,early_19th-century_style
-88.05958,-60.96562,18th-century_style
-63.68839,-80.140366,early_19th-century_style
-62.909782,-73.4254,late_19th-century_style
-85.786705,-60.79261,18th-century_style
-57.57507,-63.661198,late_19th-century_style
-96.938255,-34.587574,18th-century_style
-64.79632,-69.56419,early_19th-century_style
-46.954433,-68.0678,early_19th-century_style
-85.95487,-58.973694,18th-century_style
-59.726868,-52.228683,late_19th-century_style
-41.15175,-12.82867,late_19th-century_style
-82.573235,-58.92085,18th-century_style
-69.265945,-66.51679,18th-century_style
-72.28901,-69.46074,18th-century_style
-58.187496,-70.04398,early_19th-century_style
-54.461666,-52.742466,late_19th-century_style
-67.71926,-66.64978,early_19th-century_style
-57.861217,-70.2042,contemporary
